Customer,Name
80001446,CLEAR ACCESS SDN BHD
80001447,RANIA RESOURCES SDB BHD
80001448,Q Video Systems/
80001449,"ASC Co.,LTD"
80001450,3F RESOURCES SDN BHD
80001451,"DAEWONCTS CO., LTD"
80001452,"KDIT Co.,LTD"
80001453,POWERFUL INDUSTRIAL LIMITED
80001454,COMMHAAS SDN BHD
80001455,GLOBAL TECHSYSTEM SDN BHD
80001456,SHANI PERIPHERALS PVT.LTD.
80001457,HILLS ANTENNA & TV SYSTEMS
80001458,CONNECTOR SYSTEMS HOLDINGS
80001459,SEKTOR DISTRIBUTORS LTD
80001460,ALLIED TELESIS INDIA PVT LTD
80001461,LOGICALIS MALAYSIA SDN BHD
80001462,"HAEJIN-TECH CO., LTD"
80001463,PEOPLE'S COMMUNICATION
80001464,LANOASIS CO.LTD
80001465,AGT LIMITED
80001466,AVENUES GLOBALINE SDN BHD
80001467,ALLIED TELESIS INTERNATIONAL
80001468,SHANI PERIPHERALS PVT LTD
80001469,"EASYCOM TECHNOLOGY CO.,LTD"
8001239D,STATE TRANSIT AUTHORITY
